DATE,DAY,MONTH,IS_WEEKEND,WIND_DIRECTION,WIND_SPEED,PEAK_WIND_SPEED,TEMPERATURE,DEW_POINT,MAX_TEMPERATURE_DAY,MAX_TEMPERATURE_NIGHT,SUNSHINE_DURATION,RELATIVE_HUMIDITY,TOTAL_SNOW_HEIGHT,EXCHANGE_RATE_EUR_CHF,EXCHANGE_RATE_GBP_CHF,EXCHANGE_RATE_SEK_CHF,EXCHANGE_RATE_USD_CHF,AMOUNT_SKIER_ENTRIES,IS_HOLIDAY,ARRIVALS_DOMESTIC,ARRIVALS_FOREIGN,DURATION_DOMESTIC,DURATION_FOREIGN,OVERNIGHTS_DOMESTIC,OVERNIGHTS_FOREIGN,TOTAL_ARRIVALS,TOTAL_DURATION,TOTAL_OVERNIGHTS
01.01.2013,1,1,false,265.8333333,20.82916667,39.1375,-4.495833333,-11.27916667,0,0,8,61.75,150,0.140598,1.487765,0.140598,0.915645,13738,true,,,,,,,,,
02.01.2013,2,1,false,257.0833333,13.28333333,29,-7.883333333,-9.766666667,0,0,1,87.41666667,155,0.140669,1.48612,0.140669,0.91545,10947,true,,,,,,,,,
03.01.2013,3,1,false,261.6666667,13.125,31.6875,-2.141666667,-12.95833333,0.7,0,6,53.33333333,152,0.141236,1.489717,0.141236,0.916325,18571,true,,,,,,,,,
04.01.2013,4,1,false,148.3333333,24.62083333,64.12916667,-0.858333333,-1.479166667,0,0,2,95.625,151,0.141719,1.489398,0.141719,0.92231,9759,true,,,,,,,,,
05.01.2013,5,1,true,105,31.8625,68.45416667,-1.533333333,-2.7625,0,0,0,91.75,150,0.141284,1.484952,0.141284,0.925645,7945,true,,,,,,,,,
06.01.2013,6,1,true,164.1666667,38.5,77.62083333,-0.608333333,-3.675,2.6,0,0,81.16666667,149,0.141356,1.48613,0.141356,0.9247,10254,true,,,,,,,,,
07.01.2013,7,1,false,225.8333333,11.12083333,35.17916667,-0.320833333,-13.97916667,2.8,0,8,41.20833333,146,0.14144,1.48613,0.14144,0.9247,5940,false,,,,,,,,,
08.01.2013,8,1,false,288.75,11.20416667,30.625,2.454166667,-16.89583333,3.9,1.7,8,23.25,142,0.141771,1.484068,0.141771,0.922645,6090,false,,,,,,,,,
09.01.2013,9,1,false,238.75,6.258333333,18.29166667,2.375,-17.49166667,4.1,1.6,8,21.79166667,135,0.141222,1.483721,0.141222,0.9251,5778,false,,,,,,,,,
10.01.2013,10,1,false,199.1666667,10.275,31.575,-3.625,-8.216666667,2.8,0,5,75.375,146,0.141023,1.481933,0.141023,0.9248,3005,false,,,,,,,,,
11.01.2013,11,1,false,186.6666667,18.05416667,40.90416667,-7.633333333,-8.379166667,0,0,0,94.41666667,171,0.140801,1.47743,0.140801,0.91645,2696,false,,,,,,,,,
12.01.2013,12,1,true,156.25,5.958333333,15.74583333,-8.2375,-12.94166667,0,0,0,72.08333333,172,0.140946,1.471087,0.140946,0.91175,11777,false,,,,,,,,,
13.01.2013,13,1,true,255.8333333,6.420833333,18.42916667,-7.75,-11.49166667,0,0,8,75.41666667,164,0.141278,1.473627,0.141278,0.91345,7690,false,,,,,,,,,
14.01.2013,14,1,false,211.6666667,8.733333333,23.30416667,-9.825,-12.95,0,0,4,78.54166667,160,0.141282,1.473708,0.141282,0.9135,2517,false,,,,,,,,,
15.01.2013,15,1,false,241.25,13.6,30.09166667,-11.14583333,-13.725,0,0,1,81.83333333,158,0.142157,1.474158,0.142157,0.917295,3731,false,,,,,,,,,
16.01.2013,16,1,false,83.75,18.7625,36.725,-14.68333333,-17.20416667,0,0,4,81.20833333,158,0.142961,1.49308,0.142961,0.9278,2209,false,,,,,,,,,
17.01.2013,17,1,false,126.6666667,25.29583333,56.41666667,-16.6375,-19,0,0,0,82.04166667,160,0.143206,1.491103,0.143206,0.931365,2308,false,,,,,,,,,
18.01.2013,18,1,false,229.1666667,7.883333333,17.975,-11.19166667,-17.85,0,0,1,61.375,157,0.143703,1.492102,0.143703,0.933235,7051,false,,,,,,,,,
19.01.2013,19,1,true,256.6666667,24.99583333,41.9875,-7.25,-12.75416667,0,0,8,67,151,0.142953,1.48346,0.142953,0.93455,12125,false,,,,,,,,,
20.01.2013,20,1,true,244.1666667,24.3,50.63333333,-3.425,-4.983333333,0,0,3,89.20833333,150,0.143467,1.483227,0.143467,0.9347,6397,false,,,,,,,,,
21.01.2013,21,1,false,259.5833333,8.125,22.06666667,-6.025,-6.6875,0,0,0,95.20833333,155,0.143451,1.483068,0.143451,0.9346,2701,false,,,,,,,,,
22.01.2013,22,1,false,168.75,6.266666667,19.89583333,-9.379166667,-10.45416667,0,0,0,91.875,157,0.142794,1.474807,0.142794,0.93224,3803,false,,,,,,,,,
23.01.2013,23,1,false,247.9166667,12.28333333,24.54583333,-7.541666667,-15.97083333,0,0,0,50.91666667,156,0.142488,1.472716,0.142488,0.9284,6452,false,,,,,,,,,
24.01.2013,24,1,false,235,5.5625,15.275,-8.891666667,-13.95416667,0,0,9,67.54166667,155,0.142271,1.473113,0.142271,0.92963,5774,false,,,,,,,,,
25.01.2013,25,1,false,153.3333333,4.870833333,14.44166667,-13.56666667,-15.66666667,0,0,9,84.83333333,156,0.143081,1.466715,0.143081,0.92934,5686,false,,,,,,,,,
26.01.2013,26,1,true,179.5833333,8.733333333,24.54166667,-6.5375,-20.925,0,0,0,31.29166667,152,0.143198,1.461528,0.143198,0.92522,16884,true,,,,,,,,,
27.01.2013,27,1,true,212.5,7.1125,20.8375,-3.016666667,-15.14166667,1.4,0,9,41.29166667,150,0.14353,1.464039,0.14353,0.9264,13020,true,,,,,,,,,
28.01.2013,28,1,false,175,14.90416667,39.20416667,-6.479166667,-9.541666667,0,0,5,79.45833333,155,0.14357,1.464355,0.14357,0.9266,4264,true,,,,,,,,,
29.01.2013,29,1,false,239.1666667,14.9875,44.90416667,-0.779166667,-7.545833333,3.1,0,4,64.16666667,152,0.144521,1.45473,0.144521,0.927245,7579,true,,,,,,,,,
30.01.2013,30,1,false,209.1666667,17.1375,52.14583333,1.3625,-1.820833333,4.4,0,3,80.08333333,153,0.144354,1.451914,0.144354,0.92182,8287,true,,,,,,,,,
31.01.2013,31,1,false,279.5833333,33.34583333,72.67916667,-1.941666667,-12.90833333,4.7,0,8,45.45833333,154,0.143667,1.440812,0.143667,0.91225,8234,true,,,,,,,,,
01.02.2013,1,2,false,252.0833333,23.99166667,56.32916667,-3.1625,-3.995833333,0,0,8,94.29166667,174,0.143096,1.44236,0.143096,0.90979,4740,true,,,,,,,,,
02.02.2013,2,2,true,133.3333333,38.0375,77.48333333,-7.975,-9,0,0,0,92.29166667,216,0.143616,1.422057,0.143616,0.903205,5230,true,,,,,,,,,
03.02.2013,3,2,true,90.83333333,30.39583333,72.54583333,-12.5125,-14.5125,0,0,0,85.125,224,0.143724,1.42325,0.143724,0.90676,8331,true,,,,,,,,,
04.02.2013,4,2,false,304.5833333,29.00833333,72.775,-4.383333333,-6.9375,0,0,1,82.95833333,217,0.14372,1.423253,0.14372,0.90679,6039,true,,,,,,,,,
05.02.2013,5,2,false,239.5833333,21.97916667,51.3875,-4.875,-8.729166667,0,0,1,76.04166667,201,0.143815,1.43025,0.143815,0.908495,9374,true,,,,,,,,,
06.02.2013,6,2,false,259.5833333,13.825,38.8875,-10.82916667,-13.31666667,0,0,5,82.41666667,201,0.143396,1.42134,0.143396,0.90835,7571,true,,,,,,,,,
07.02.2013,7,2,false,217.5,17.9,51.625,-12.90833333,-15.04583333,0,0,6,84.125,209,0.143174,1.424457,0.143174,0.90995,6184,true,,,,,,,,,
08.02.2013,8,2,false,227.5,9.5,32.56666667,-14.125,-16.12083333,0,0,2,84.83333333,222,0.142708,1.439903,0.142708,0.9176,7388,true,,,,,,,,,
09.02.2013,9,2,true,231.25,11.13333333,29.23333333,-15.7625,-18.45833333,0,0,4,80,219,0.142574,1.451283,0.142574,0.91806,10228,true,,,,,,,,,
10.02.2013,10,2,true,253.3333333,9.733333333,19.375,-15.8625,-20.52916667,0,0,6,68.70833333,218,0.142488,1.451254,0.142488,0.9186,19307,true,,,,,,,,,
11.02.2013,11,2,false,242.9166667,19.82916667,38.275,-10.97083333,-13.50833333,0,0,10,81.91666667,205,0.142462,1.450938,0.142462,0.9184,11178,true,,,,,,,,,
12.02.2013,12,2,false,252.9166667,8.970833333,26.07916667,-10.30416667,-11.84583333,0,0,1,88.54166667,205,0.143814,1.439927,0.143814,0.919055,8286,true,,,,,,,,,
13.02.2013,13,2,false,181.6666667,7.1875,21.525,-13.54166667,-16.80833333,0,0,1,78.45833333,205,0.14421,1.435551,0.14421,0.91703,12865,true,,,,,,,,,
14.02.2013,14,2,false,271.25,5.033333333,17.29583333,-7.545833333,-16.7875,0,0,7,49,201,0.146068,1.426138,0.146068,0.917905,17715,true,,,,,,,,,
15.02.2013,15,2,false,269.5833333,13.82083333,36.42083333,-7.333333333,-9.091666667,0,0,9,87.41666667,202,0.145927,1.431689,0.145927,0.92379,10015,true,,,,,,,,,
16.02.2013,16,2,true,230.4166667,4.804166667,18.45,-9.304166667,-11.69166667,0,0,3,83.16666667,201,0.145994,1.431847,0.145994,0.92236,15370,true,,,,,,,,,
17.02.2013,17,2,true,199.1666667,3.875,12.35,-10.12083333,-11.75833333,0,0,1,88,199,0.145765,1.430201,0.145765,0.9217,16364,true,,,,,,,,,
18.02.2013,18,2,false,253.75,10.27916667,21.99166667,-9.704166667,-14.6625,0,0,5,67.875,197,0.145733,1.429924,0.145733,0.9215,13197,true,,,,,,,,,
19.02.2013,19,2,false,205.4166667,8.5875,26.37916667,-7.970833333,-14.96666667,0,0,10,59.25,195,0.145456,1.428483,0.145456,0.9233,11968,true,,,,,,,,,
20.02.2013,20,2,false,160,5.3375,16.29583333,-9.3875,-10.5125,0,0,6,91.41666667,200,0.146117,1.422565,0.146117,0.921765,6530,true,,,,,,,,,
21.02.2013,21,2,false,225,3.720833333,10.89166667,-12.19166667,-13.74583333,0,0,2,88.29166667,200,0.146402,1.413967,0.146402,0.92431,8364,true,,,,,,,,,
22.02.2013,22,2,false,225.8333333,6.725,16.6625,-14.20833333,-16.09166667,0,0,5,85.625,199,0.145328,1.421159,0.145328,0.93147,9917,true,,,,,,,,,
23.02.2013,23,2,true,223.3333333,6.0375,14.57916667,-14.2875,-16.95833333,0,0,10,80.66666667,197,0.144713,1.421017,0.144713,0.931235,13574,true,,,,,,,,,
24.02.2013,24,2,true,175,5.3375,14.275,-15.65833333,-17.44166667,0,0,9,86.16666667,197,0.144781,1.40915,0.144781,0.92925,7212,true,,,,,,,,,
25.02.2013,25,2,false,161.6666667,5.3375,14.58333333,-9.858333333,-13.97916667,0,0,4,72.20833333,195,0.144795,1.409074,0.144795,0.9292,8910,true,,,,,,,,,
26.02.2013,26,2,false,200.8333333,5.725,13.90416667,-7.9,-15.12083333,0,0,10,57.5,193,0.144748,1.406797,0.144748,0.930315,9445,true,,,,,,,,,
27.02.2013,27,2,false,225.8333333,4.875,13.20833333,-3.166666667,-11.775,1,0,10,51.875,190,0.143963,1.410627,0.143963,0.93265,9021,true,,,,,,,,,
28.02.2013,28,2,false,250.4166667,18.2875,33.15416667,-3.183333333,-7.9,0,0,11,70.08333333,188,0.144298,1.409192,0.144298,0.9313,9585,true,,,,,,,,,
01.03.2013,1,3,false,247.0833333,6.425,17.75,-2.670833333,-8.975,0.9,0,7,62.20833333,188,0.144724,1.417734,0.144724,0.9335,11733,true,,,,,,,,,
02.03.2013,2,3,true,245,6.583333333,14.27916667,-1.570833333,-12.82083333,2,0,11,42.66666667,186,0.146353,1.420361,0.146353,0.94525,17095,true,,,,,,,,,
03.03.2013,3,3,true,241.25,7.3375,19.075,-0.504166667,-14.43333333,2.4,0,11,34.66666667,185,0.146542,,0.146542,0.9431,15691,true,,,,,,,,,
